examen,serie,region,sexe,taux_pct,source
BAC II (session juin 2024),A,Grand Lomé,M,56.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Grand Lomé,F,59.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Grand Lomé,T,58.0,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Grand Lomé,M,74.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Grand Lomé,F,70.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Grand Lomé,T,72.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Grand Lomé,M,51.2,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Grand Lomé,F,51.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Grand Lomé,T,51.2,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Maritime,M,51.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Maritime,F,48.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Maritime,T,50.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Maritime,M,77.0,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Maritime,F,76.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Maritime,T,76.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Maritime,M,38.0,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Maritime,F,33.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Maritime,T,36.2,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Plateaux Est,M,41.7,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Plateaux Est,F,36.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Plateaux Est,T,39.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Plateaux Est,M,69.7,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Plateaux Est,F,66.7,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Plateaux Est,T,68.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Plateaux Est,M,33.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Plateaux Est,F,23.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Plateaux Est,T,30.2,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Plateaux Ouest,M,47.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Plateaux Ouest,F,42.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Plateaux Ouest,T,45.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Plateaux Ouest,M,76.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Plateaux Ouest,F,11.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Plateaux Ouest,T,60.0,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Plateaux Ouest,M,40.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Plateaux Ouest,F,37.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Plateaux Ouest,T,39.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Centrale,M,37.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Centrale,F,32.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Centrale,T,35.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Centrale,M,44.2,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Centrale,F,47.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Centrale,T,45.0,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Centrale,M,33.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Centrale,F,23.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Centrale,T,30.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Kara,M,45.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Kara,F,41.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Kara,T,44.0,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Kara,M,80.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Kara,F,86.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Kara,T,81.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Kara,M,42.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Kara,F,39.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Kara,T,41.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Savanes,M,54.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Savanes,F,47.4,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Savanes,T,51.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Savanes,M,73.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Savanes,F,30.8,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Savanes,T,61.7,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Savanes,M,40.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Savanes,F,33.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Savanes,T,38.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Ensemble,M,49.1,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Ensemble,F,47.5,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),A,Ensemble,T,48.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Ensemble,M,71.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Ensemble,F,67.6,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),C,Ensemble,T,70.3,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Ensemble,M,42.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Ensemble,F,40.9,Annuaire national 2024-2025 (tableau 3.10)
BAC II (session juin 2024),D,Ensemble,T,42.2,Annuaire national 2024-2025 (tableau 3.10)
