examen,serie,region,sexe,annees_couvertes,taux_min_pct,taux_max_pct,taux_moyen_pct,taux_2022_pct
BAC I,A,Centrale,Féminin,2014-2022 (9 obs),43.5,88.1,68.4,88.1
BAC I,A,Centrale,Masculin,2014-2022 (9 obs),49.4,89.6,71.2,89.6
BAC I,A,Centrale,Total,2014-2022 (8 obs),47.5,85.7,67.9,85.7
BAC I,A,Kara,Féminin,2014-2022 (9 obs),43.6,81.8,64.0,81.8
BAC I,A,Kara,Masculin,2014-2022 (9 obs),50.7,82.2,69.2,82.2
BAC I,A,Kara,Total,2014-2022 (8 obs),48.2,78.2,65.5,78.2
BAC I,A,Lomé-Golfe,Féminin,2014-2022 (9 obs),61.8,88.1,75.2,88.1
BAC I,A,Lomé-Golfe,Masculin,2014-2022 (9 obs),59.7,88.7,75.2,88.7
BAC I,A,Lomé-Golfe,Total,2014-2022 (8 obs),60.7,86.7,73.6,86.7
BAC I,A,Maritime,Féminin,2014-2022 (9 obs),49.9,84.9,66.1,84.9
BAC I,A,Maritime,Masculin,2014-2022 (9 obs),54.2,85.5,70.2,85.5
BAC I,A,Maritime,Total,2014-2022 (8 obs),53.0,85.3,67.3,85.3
BAC I,A,Plateaux,Féminin,2014-2022 (9 obs),32.0,84.3,64.3,84.3
BAC I,A,Plateaux,Masculin,2014-2022 (9 obs),50.2,86.4,71.4,86.4
BAC I,A,Plateaux,Total,2014-2022 (8 obs),49.1,85.6,66.5,85.6
BAC I,A,Savanes,Féminin,2014-2022 (9 obs),36.4,83.3,61.6,83.3
BAC I,A,Savanes,Masculin,2014-2022 (9 obs),44.5,88.6,69.7,88.6
BAC I,A,Savanes,Total,2014-2022 (8 obs),41.8,84.7,64.6,84.7
BAC I,A,Togo,Féminin,2014-2022 (9 obs),50.7,84.4,66.8,84.4
BAC I,A,Togo,Masculin,2014-2022 (9 obs),58.0,85.6,71.2,85.6
BAC I,A,Togo,Total,2014-2022 (8 obs),56.7,82.3,67.5,82.3
BAC I,C,Centrale,Féminin,2014-2022 (9 obs),0.0,100.0,83.3,100.0
BAC I,C,Centrale,Masculin,2014-2022 (9 obs),70.6,100.0,92.2,100.0
BAC I,C,Centrale,Total,2014-2022 (9 obs),75.0,100.0,91.7,100.0
BAC I,C,Kara,Féminin,2014-2022 (9 obs),92.0,100.0,98.9,100.0
BAC I,C,Kara,Masculin,2014-2022 (9 obs),95.0,100.0,98.0,100.0
BAC I,C,Kara,Total,2014-2022 (9 obs),94.0,100.0,98.2,100.0
BAC I,C,Lomé-Golfe,Féminin,2014-2022 (9 obs),76.5,98.3,87.5,98.3
BAC I,C,Lomé-Golfe,Masculin,2014-2022 (9 obs),83.3,99.4,92.3,99.4
BAC I,C,Lomé-Golfe,Total,2014-2022 (9 obs),11.6,98.9,81.6,98.9
BAC I,C,Maritime,Féminin,2014-2022 (9 obs),70.0,100.0,90.4,100.0
BAC I,C,Maritime,Masculin,2014-2022 (9 obs),82.5,100.0,93.7,100.0
BAC I,C,Maritime,Total,2014-2022 (9 obs),79.7,100.0,92.9,100.0
BAC I,C,Plateaux,Féminin,2014-2022 (9 obs),28.8,100.0,77.0,100.0
BAC I,C,Plateaux,Masculin,2014-2022 (9 obs),57.3,100.0,87.1,100.0
