source,indicateur,annee,valeur
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1971,886.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1972,1412.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1973,1469.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1974,1471.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1975,1619.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1976,2353.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1977,2777.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1978,3151.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1979,3163.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1980,3638.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1981,4750.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1982,4307.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1983,4034.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1984,4234.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1987,6223.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1988,7088.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1989,7456.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1990,7826.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1991,8969.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1992,10224.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1993,8925.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1994,9320.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1995,11173.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1996,11639.0
UNESCO UIS (OPRI),"enrolment in tertiary education, all programmes, both sexes (number)",1998,14322.0
