faculte,annee,hommes,femmes,total
CERSA,2013,0.0,0.0,0.0
CERSA,2014,0.0,0.0,0.0
CERSA,2015,17.0,4.0,21.0
CERSA,2016,19.0,4.0,23.0
CERSA,2017,21.0,3.0,24.0
CERSA,2018,40.0,11.0,51.0
CIC,2013,165.0,15.0,180.0
CIC,2014,146.0,14.0,160.0
CIC,2015,200.0,20.0,220.0
CIC,2016,230.0,29.0,259.0
CIC,2017,258.0,27.0,285.0
CIC,2018,306.0,26.0,332.0
EAM,2013,281.0,112.0,393.0
EAM,2014,185.0,47.0,232.0
EAM,2015,133.0,15.0,148.0
EAM,2016,154.0,15.0,169.0
EAM,2017,161.0,12.0,173.0
EAM,2018,154.0,24.0,178.0
ENSI,2013,372.0,10.0,382.0
ENSI,2014,381.0,6.0,387.0
ENSI,2015,414.0,8.0,422.0
ENSI,2016,624.0,29.0,653.0
ENSI,2017,694.0,34.0,728.0
ENSI,2018,751.0,39.0,790.0
ESA,2013,931.0,117.0,1048.0
ESA,2014,1011.0,152.0,1163.0
ESA,2015,903.0,160.0,1063.0
ESA,2016,1043.0,197.0,1240.0
ESA,2017,1018.0,194.0,1212.0
ESA,2018,982.0,227.0,1209.0
ESAAD,2013,0.0,0.0,0.0
ESAAD,2014,0.0,0.0,0.0
ESAAD,2015,29.0,377.0,406.0
ESAAD,2016,27.0,396.0,423.0
ESAAD,2017,25.0,392.0,417.0
ESAAD,2018,20.0,388.0,408.0
ESSD,2013,26.0,313.0,339.0
ESSD,2014,31.0,364.0,395.0
ESSD,2015,0.0,0.0,0.0
ESSD,2016,0.0,0.0,0.0
ESSD,2017,0.0,0.0,0.0
ESSD,2018,0.0,0.0,0.0
ESTBA,2013,597.0,241.0,838.0
ESTBA,2014,707.0,287.0,994.0
ESTBA,2015,722.0,283.0,1005.0
ESTBA,2016,703.0,287.0,990.0
ESTBA,2017,626.0,288.0,914.0
ESTBA,2018,521.0,235.0,756.0
FASEG,2013,7820.0,2434.0,10254.0
FASEG,2014,7331.0,2455.0,9786.0
FASEG,2015,7726.0,2679.0,10405.0
FASEG,2016,8766.0,3562.0,12328.0
FASEG,2017,9412.0,4244.0,13656.0
FASEG,2018,9751.0,4935.0,14686.0
FAST,2013,373.0,18.0,391.0
FAST,2014,399.0,22.0,421.0
FAST,2015,464.0,34.0,498.0
FAST,2016,665.0,61.0,726.0
FAST,2017,941.0,105.0,1046.0
FAST,2018,1220.0,171.0,1391.0
FDD,2013,3933.0,1770.0,5703.0
FDD,2014,3631.0,1657.0,5288.0
FDD,2015,3939.0,1913.0,5852.0
FDD,2016,4372.0,2221.0,6593.0
FDD,2017,4305.0,2333.0,6638.0
