filiere,nb_metiers_matches,nb_avec_riasec,metiers
Agronomie,11,10,"11-9013.00 Farmers, Ranchers, and Other Agricultural Managers; 17-2021.00 Agricultural Engineers; 19-1013.00 Soil and Plant Scientists; 19-4012.00 Agricultural Technicians; 19-4012.01 Precision Agriculture Technicians; 25-1041.00 Agricultural Sciences Teachers, Postsecondary; 45-2011.00 Agricultural Inspectors; 45-2041.00 Graders and Sorters, Agricultural Products; 45-2091.00 Agricultural Equipment Operators; 45-2092.00 Farmworkers and Laborers, Crop, Nursery, and Greenhouse; 45-2099.00 Agricultural Workers, All Other"
Anglais,6,6,"25-1123.00 English Language and Literature Teachers, Postsecondary; 25-1124.00 Foreign Language and Literature Teachers, Postsecondary; 25-3011.00 Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors; 27-3091.00 Interpreters and Translators; 29-1127.00 Speech-Language Pathologists; 31-9099.01 Speech-Language Pathology Assistants"
Arts Plastiques,34,30,"11-9032.00 Education Administrators, Kindergarten through Secondary; 13-1011.00 Agents and Business Managers of Artists, Performers, and Athletes; 15-1255.00 Web and Digital Interface Designers; 15-1255.01 Video Game Designers; 17-1021.00 Cartographers and Photogrammetrists; 25-1051.00 Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary; 25-1121.00 Art, Drama, and Music Teachers, Postsecondary; 25-2012.00 Kindergarten Teachers, Except Special Education; 25-2055.00 Special Education Teachers, Kindergarten; 27-1011.00 Art Directors; 27-1012.00 Craft Artists; 27-1013.00 Fine Artists, Including Painters, Sculptors, and Illustrators…"
Banque et Assurance,12,12,"13-1032.00 Insurance Appraisers, Auto Damage; 13-2041.00 Credit Analysts; 13-2053.00 Insurance Underwriters; 13-2054.00 Financial Risk Specialists; 13-2071.00 Credit Counselors; 13-2072.00 Loan Officers; 41-3021.00 Insurance Sales Agents; 41-3091.00 Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; 43-4041.00 Credit Authorizers, Checkers, and Clerks; 43-4111.00 Interviewers, Except Eligibility and Loan; 43-4131.00 Loan Interviewers and Clerks; 43-9041.00 Insurance Claims and Policy Processing Clerks"
Biologie,9,8,"19-1021.00 Biochemists and Biophysicists; 19-1022.00 Microbiologists; 19-1023.00 Zoologists and Wildlife Biologists; 19-1029.00 Biological Scientists, All Other; 19-1029.02 Molecular and Cellular Biologists; 19-1029.03 Geneticists; 19-1029.04 Biologists; 19-4021.00 Biological Technicians; 25-1042.00 Biological Science Teachers, Postsecondary"
Communication et Journalisme,13,12,"11-2032.00 Public Relations Managers; 15-1241.01 Telecommunications Engineering Specialists; 25-1122.00 Communications Teachers, Postsecondary; 27-3011.00 Broadcast Announcers and Radio Disc Jockeys; 27-3023.00 News Analysts, Reporters, and Journalists; 27-3031.00 Public Relations Specialists; 27-3041.00 Editors; 27-3092.00 Court Reporters and Simultaneous Captioners; 27-4012.00 Broadcast Technicians; 27-4032.00 Film and Video Editors; 43-2099.00 Communications Equipment Operators, All Other; 49-2022.00 Telecommunications Equipment Installers and Repairers, Except Line Installers…"
Droit,8,7,"23-1011.00 Lawyers; 23-1021.00 Administrative Law Judges, Adjudicators, and Hearing Officers; 23-1022.00 Arbitrators, Mediators, and Conciliators; 23-1023.00 Judges, Magistrate Judges, and Magistrates; 23-2011.00 Paralegals and Legal Assistants; 23-2099.00 Legal Support Workers, All Other; 43-6012.00 Legal Secretaries and Administrative Assistants; 43-6014.00 Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Économie,5,5,13-1161.00 Market Research Analysts and Marketing Specialists; 15-2041.00 Statisticians; 15-2041.01 Biostatisticians; 19-3011.00 Economists; 19-3011.01 Environmental Economists
Enseignement Primaire,8,8,"11-9031.00 Education and Childcare Administrators, Preschool and Daycare; 11-9032.00 Education Administrators, Kindergarten through Secondary; 25-2011.00 Preschool Teachers, Except Special Education; 25-2012.00 Kindergarten Teachers, Except Special Education; 25-2021.00 Elementary School Teachers, Except Special Education; 25-2051.00 Special Education Teachers, Preschool; 25-2055.00 Special Education Teachers, Kindergarten; 25-9042.00 Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Finance et Comptabilité,7,7,"11-3031.01 Treasurers and Controllers; 13-2011.00 Accountants and Auditors; 13-2081.00 Tax Examiners and Collectors, and Revenue Agents; 13-2082.00 Tax Preparers; 43-3031.00 Bookkeeping, Accounting, and Auditing Clerks; 47-4011.01 Energy Auditors; 53-3054.00 Taxi Drivers"
