filiere,nb_metiers,R,I,A,S,E,C
Agronomie,10,0.841,0.54,0.091,0.19,0.254,0.527
Anglais,6,0.214,0.544,0.447,0.835,0.185,0.506
Arts Plastiques,30,0.545,0.3,0.57,0.357,0.325,0.46
Banque et Assurance,12,0.088,0.292,0.03,0.373,0.618,0.843
Biologie,8,0.637,0.935,0.222,0.306,0.157,0.558
Communication et Journalisme,12,0.332,0.319,0.439,0.342,0.435,0.546
Droit,7,0.088,0.432,0.151,0.42,0.62,0.725
Économie,5,0.158,0.906,0.236,0.232,0.412,0.622
Enseignement Primaire,8,0.22,0.349,0.414,0.952,0.336,0.49
Finance et Comptabilité,7,0.248,0.264,0.006,0.224,0.464,0.9
Génie Civil,12,0.853,0.421,0.121,0.099,0.222,0.587
Génie Électrique,12,0.9,0.377,0.033,0.089,0.177,0.599
Génie Informatique,18,0.548,0.625,0.144,0.199,0.242,0.751
Génie Mécanique,6,0.831,0.614,0.183,0.044,0.145,0.65
Géographie,6,0.676,0.784,0.276,0.168,0.134,0.657
Gestion des Entreprises,9,0.183,0.381,0.166,0.392,0.787,0.688
Histoire,3,0.348,0.771,0.433,0.381,0.156,0.613
Informatique,23,0.511,0.664,0.129,0.186,0.236,0.775
Lettres Modernes,7,0.137,0.325,0.395,0.331,0.467,0.702
Mathématiques Appliquées,5,0.229,0.961,0.253,0.182,0.159,0.72
Médecine,36,0.604,0.69,0.057,0.574,0.193,0.592
Odontologie,4,0.733,0.584,0.034,0.533,0.086,0.565
Pharmacie,1,0.303,0.778,0.08,0.647,0.27,0.593
Physique-Chimie,8,0.754,0.782,0.158,0.254,0.079,0.57
Psychologie,24,0.281,0.578,0.292,0.827,0.26,0.418
Sciences de l'Éducation,60,0.285,0.582,0.418,0.948,0.293,0.436
Sciences Environnementales,11,0.735,0.806,0.146,0.334,0.255,0.53
Sciences Forestières,4,0.665,0.597,0.14,0.439,0.474,0.515
Sciences Infirmières,13,0.439,0.587,0.101,0.725,0.27,0.516
Sciences Politiques,6,0.117,0.584,0.184,0.326,0.542,0.691
Sociologie,8,0.192,0.516,0.303,0.756,0.455,0.446
Tourisme et Hôtellerie,11,0.326,0.075,0.136,0.56,0.598,0.621
