indicator_id,country_id,year,value,magnitude,qualifier
10403,TGO,1998,10,,
10403,TGO,1999,10,,
10403,TGO,2000,10,,
10403,TGO,2001,10,,
10403,TGO,2002,10,,
10403,TGO,2003,10,,
10403,TGO,2004,10,,
10403,TGO,2005,10,,
10403,TGO,2006,10,,
10403,TGO,2007,10,,
10403,TGO,2008,10,,
10403,TGO,2009,10,,
10403,TGO,2010,10,,
10403,TGO,2011,9,,
10403,TGO,2012,9,,
10403,TGO,2013,10,,
10403,TGO,2014,10,,
10403,TGO,2015,10,,
10403,TGO,2016,10,,
10403,TGO,2017,10,,
10403,TGO,2018,10,,
10403,TGO,2019,10,,
10403,TGO,2020,11,,
10403,TGO,2021,12,,
10403,TGO,2022,11,,
10404,TGO,1998,6,,
10404,TGO,1999,6,,
10404,TGO,2000,6,,
10404,TGO,2001,6,,
10404,TGO,2002,6,,
10404,TGO,2003,6,,
10404,TGO,2004,6,,
10404,TGO,2005,6,,
10404,TGO,2006,6,,
10404,TGO,2007,6,,
10404,TGO,2008,6,,
10404,TGO,2009,6,,
10404,TGO,2010,6,,
10404,TGO,2011,7,,
10404,TGO,2012,7,,
10404,TGO,2013,7,,
10404,TGO,2014,8,,
10404,TGO,2015,8,,
10404,TGO,2016,8,,
10404,TGO,2017,8,,
10404,TGO,2018,8,,
10404,TGO,2019,8,,
10404,TGO,2020,8,,
10404,TGO,2021,8,,
10404,TGO,2022,8,,
10405,TGO,1970,1969,,
10405,TGO,1971,1970,,
10405,TGO,1972,1971,,
10405,TGO,1973,1972,,
10405,TGO,1974,1973,,
10405,TGO,1975,1974,,
10405,TGO,1976,1975,,
10405,TGO,1977,1976,,
10405,TGO,1978,1977,,
10405,TGO,1979,1978,,
10405,TGO,1980,1979,,
10405,TGO,1981,1980,,
10405,TGO,1982,1981,,
10405,TGO,1983,1982,,
10405,TGO,1984,1983,,
10405,TGO,1985,1984,,
10405,TGO,1986,1985,,
10405,TGO,1987,1986,,
10405,TGO,1988,1987,,
10405,TGO,1989,1988,,
10405,TGO,1990,1989,,
10405,TGO,1991,1990,,
10405,TGO,1992,1991,,
10405,TGO,1993,1992,,
10405,TGO,1994,1993,,
10405,TGO,1995,1994,,
10405,TGO,1996,1995,,
10405,TGO,1997,1996,,
10405,TGO,1998,1997,,
10405,TGO,1999,1998,,
10405,TGO,2000,1999,,
10405,TGO,2001,2000,,
10405,TGO,2002,2001,,
10405,TGO,2003,2002,,
10405,TGO,2004,2003,,
10405,TGO,2005,2004,,
10405,TGO,2006,2005,,
10405,TGO,2007,2006,,
10405,TGO,2008,2007,,
10405,TGO,2009,2008,,
10405,TGO,2010,2009,,
10405,TGO,2011,2010,,
10405,TGO,2012,2011,,
10405,TGO,2013,2012,,
10405,TGO,2014,2013,,
10405,TGO,2015,2014,,
10405,TGO,2016,2015,,
10405,TGO,2017,2016,,
10405,TGO,2018,2017,,
10405,TGO,2019,2018,,
10405,TGO,2020,2019,,
10405,TGO,2021,2020,,
10405,TGO,2022,2021,,
10406,TGO,1998,1998,,
10406,TGO,1999,1999,,
10406,TGO,2000,2000,,
10406,TGO,2001,2001,,
10406,TGO,2002,2002,,
10406,TGO,2003,2003,,
10406,TGO,2004,2004,,
10406,TGO,2005,2005,,
10406,TGO,2006,2006,,
10406,TGO,2007,2007,,
10406,TGO,2008,2008,,
10406,TGO,2009,2009,,
10406,TGO,2010,2010,,
10406,TGO,2011,2011,,
10406,TGO,2012,2012,,
10406,TGO,2013,2013,,
10406,TGO,2014,2014,,
10406,TGO,2015,2015,,
10406,TGO,2016,2016,,
10406,TGO,2017,2017,,
10406,TGO,2018,2018,,
10406,TGO,2019,2019,,
10406,TGO,2020,2020,,
10406,TGO,2021,2021,,
10406,TGO,2022,2022,,
20060,TGO,1971,9414,,
20060,TGO,1972,6129,,
20060,TGO,1973,7110,,
20060,TGO,1974,7273,,
20060,TGO,1975,6242,,
20060,TGO,1976,6723,,
20060,TGO,1977,5458,,
20060,TGO,1978,6124,,
20060,TGO,1979,6973,,
20060,TGO,1980,6484,,
20060,TGO,1981,7726,,
20060,TGO,1982,9000,,
20060,TGO,1983,9393,,
20060,TGO,1984,9248,,
20060,TGO,1985,9279,,
20060,TGO,1986,9740,,
20060,TGO,1987,9844,,
20060,TGO,1988,10483,,
20060,TGO,1989,9772,,
20060,TGO,1990,10200,,
20060,TGO,1991,10949,,
20060,TGO,1994,10526,,
20060,TGO,1995,10098,,
20060,TGO,1996,10354,,
20060,TGO,1997,10489,,
20060,TGO,1998,10532,,
20060,TGO,1999,11241,,
20060,TGO,2000,9432,,
20060,TGO,2001,10484,,
20060,TGO,2002,12094,,
20060,TGO,2003,12773,,
20060,TGO,2004,15085,,UIS_EST
20060,TGO,2006,19973,,UIS_EST
20060,TGO,2007,22559,,
20060,TGO,2008,26050,,
20060,TGO,2009,41057,,
20060,TGO,2010,42890,,
20060,TGO,2011,55120,,
20060,TGO,2012,66018,,
20060,TGO,2013,86680,,
20060,TGO,2014,96957,,
20060,TGO,2015,115105,,
20060,TGO,2017,143897,,
20060,TGO,2018,155739,,
20060,TGO,2019,172225,,
20060,TGO,2020,207503,,
20060,TGO,2021,206034,,
20060,TGO,2022,228223,,
20060,TGO,2023,240424,,
20060,TGO,2024,230771,,
20061,TGO,1971,3983,,
20061,TGO,1972,2891,,
20061,TGO,1973,3492,,
20061,TGO,1974,3395,,
20061,TGO,1975,2876,,
20061,TGO,1976,3270,,
20061,TGO,1977,2585,,
20061,TGO,1978,2873,,
20061,TGO,1979,3384,,
