indicator_id,country_id,year,value,magnitude,qualifier
ADMI.ENDOFLOWERSEC.MAT,TGO,2014,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2015,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2016,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2017,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2018,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2019,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2020,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2021,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2022,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2023,0,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2024,1,,
ADMI.ENDOFLOWERSEC.MAT,TGO,2025,1,,
ADMI.ENDOFLOWERSEC.READ,TGO,2014,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2015,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2016,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2017,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2018,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2019,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2020,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2021,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2022,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2023,0,,
ADMI.ENDOFLOWERSEC.READ,TGO,2024,1,,
ADMI.ENDOFLOWERSEC.READ,TGO,2025,1,,
ADMI.ENDOFPRIM.MAT,TGO,2014,1,,
ADMI.ENDOFPRIM.MAT,TGO,2015,1,,
ADMI.ENDOFPRIM.MAT,TGO,2016,1,,
ADMI.ENDOFPRIM.MAT,TGO,2017,1,,
ADMI.ENDOFPRIM.MAT,TGO,2018,1,,
ADMI.ENDOFPRIM.MAT,TGO,2019,1,,
ADMI.ENDOFPRIM.MAT,TGO,2020,1,,
ADMI.ENDOFPRIM.MAT,TGO,2021,1,,
ADMI.ENDOFPRIM.MAT,TGO,2022,1,,
ADMI.ENDOFPRIM.MAT,TGO,2023,1,,
ADMI.ENDOFPRIM.MAT,TGO,2024,1,,
ADMI.ENDOFPRIM.MAT,TGO,2025,1,,
ADMI.ENDOFPRIM.READ,TGO,2014,1,,
ADMI.ENDOFPRIM.READ,TGO,2015,1,,
ADMI.ENDOFPRIM.READ,TGO,2016,1,,
ADMI.ENDOFPRIM.READ,TGO,2017,1,,
ADMI.ENDOFPRIM.READ,TGO,2018,1,,
ADMI.ENDOFPRIM.READ,TGO,2019,1,,
ADMI.ENDOFPRIM.READ,TGO,2020,1,,
ADMI.ENDOFPRIM.READ,TGO,2021,1,,
ADMI.ENDOFPRIM.READ,TGO,2022,1,,
ADMI.ENDOFPRIM.READ,TGO,2023,1,,
ADMI.ENDOFPRIM.READ,TGO,2024,1,,
ADMI.ENDOFPRIM.READ,TGO,2025,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2014,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2015,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2016,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2017,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2018,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2019,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2020,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2021,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2022,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2023,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2024,1,,
ADMI.GRADE2OR3PRIM.MAT,TGO,2025,1,,
