indicator_id,indicator_label_en,country_id,year,value,magnitude,qualifier
10403,Start month of the academic school year (tertiary education),TGO,1998,10,,
10403,Start month of the academic school year (tertiary education),TGO,1999,10,,
10403,Start month of the academic school year (tertiary education),TGO,2000,10,,
10403,Start month of the academic school year (tertiary education),TGO,2001,10,,
10403,Start month of the academic school year (tertiary education),TGO,2002,10,,
10403,Start month of the academic school year (tertiary education),TGO,2003,10,,
10403,Start month of the academic school year (tertiary education),TGO,2004,10,,
10403,Start month of the academic school year (tertiary education),TGO,2005,10,,
10403,Start month of the academic school year (tertiary education),TGO,2006,10,,
10403,Start month of the academic school year (tertiary education),TGO,2007,10,,
10403,Start month of the academic school year (tertiary education),TGO,2008,10,,
10403,Start month of the academic school year (tertiary education),TGO,2009,10,,
10403,Start month of the academic school year (tertiary education),TGO,2010,10,,
10403,Start month of the academic school year (tertiary education),TGO,2011,9,,
10403,Start month of the academic school year (tertiary education),TGO,2012,9,,
10403,Start month of the academic school year (tertiary education),TGO,2013,10,,
10403,Start month of the academic school year (tertiary education),TGO,2014,10,,
10403,Start month of the academic school year (tertiary education),TGO,2015,10,,
10403,Start month of the academic school year (tertiary education),TGO,2016,10,,
10403,Start month of the academic school year (tertiary education),TGO,2017,10,,
10403,Start month of the academic school year (tertiary education),TGO,2018,10,,
10403,Start month of the academic school year (tertiary education),TGO,2019,10,,
10403,Start month of the academic school year (tertiary education),TGO,2020,11,,
10403,Start month of the academic school year (tertiary education),TGO,2021,12,,
10403,Start month of the academic school year (tertiary education),TGO,2022,11,,
10404,End month of the academic school year (tertiary education),TGO,1998,6,,
10404,End month of the academic school year (tertiary education),TGO,1999,6,,
10404,End month of the academic school year (tertiary education),TGO,2000,6,,
10404,End month of the academic school year (tertiary education),TGO,2001,6,,
10404,End month of the academic school year (tertiary education),TGO,2002,6,,
10404,End month of the academic school year (tertiary education),TGO,2003,6,,
10404,End month of the academic school year (tertiary education),TGO,2004,6,,
10404,End month of the academic school year (tertiary education),TGO,2005,6,,
10404,End month of the academic school year (tertiary education),TGO,2006,6,,
10404,End month of the academic school year (tertiary education),TGO,2007,6,,
10404,End month of the academic school year (tertiary education),TGO,2008,6,,
10404,End month of the academic school year (tertiary education),TGO,2009,6,,
10404,End month of the academic school year (tertiary education),TGO,2010,6,,
10404,End month of the academic school year (tertiary education),TGO,2011,7,,
10404,End month of the academic school year (tertiary education),TGO,2012,7,,
10404,End month of the academic school year (tertiary education),TGO,2013,7,,
10404,End month of the academic school year (tertiary education),TGO,2014,8,,
10404,End month of the academic school year (tertiary education),TGO,2015,8,,
10404,End month of the academic school year (tertiary education),TGO,2016,8,,
10404,End month of the academic school year (tertiary education),TGO,2017,8,,
10404,End month of the academic school year (tertiary education),TGO,2018,8,,
10404,End month of the academic school year (tertiary education),TGO,2019,8,,
10404,End month of the academic school year (tertiary education),TGO,2020,8,,
10404,End month of the academic school year (tertiary education),TGO,2021,8,,
10404,End month of the academic school year (tertiary education),TGO,2022,8,,
10405,Start of the academic school year (tertiary education),TGO,1970,1969,,
10405,Start of the academic school year (tertiary education),TGO,1971,1970,,
10405,Start of the academic school year (tertiary education),TGO,1972,1971,,
10405,Start of the academic school year (tertiary education),TGO,1973,1972,,
10405,Start of the academic school year (tertiary education),TGO,1974,1973,,
10405,Start of the academic school year (tertiary education),TGO,1975,1974,,
10405,Start of the academic school year (tertiary education),TGO,1976,1975,,
10405,Start of the academic school year (tertiary education),TGO,1977,1976,,
10405,Start of the academic school year (tertiary education),TGO,1978,1977,,
10405,Start of the academic school year (tertiary education),TGO,1979,1978,,
10405,Start of the academic school year (tertiary education),TGO,1980,1979,,
10405,Start of the academic school year (tertiary education),TGO,1981,1980,,
10405,Start of the academic school year (tertiary education),TGO,1982,1981,,
10405,Start of the academic school year (tertiary education),TGO,1983,1982,,
10405,Start of the academic school year (tertiary education),TGO,1984,1983,,
10405,Start of the academic school year (tertiary education),TGO,1985,1984,,
10405,Start of the academic school year (tertiary education),TGO,1986,1985,,
10405,Start of the academic school year (tertiary education),TGO,1987,1986,,
10405,Start of the academic school year (tertiary education),TGO,1988,1987,,
10405,Start of the academic school year (tertiary education),TGO,1989,1988,,
10405,Start of the academic school year (tertiary education),TGO,1990,1989,,
10405,Start of the academic school year (tertiary education),TGO,1991,1990,,
10405,Start of the academic school year (tertiary education),TGO,1992,1991,,
10405,Start of the academic school year (tertiary education),TGO,1993,1992,,
10405,Start of the academic school year (tertiary education),TGO,1994,1993,,
10405,Start of the academic school year (tertiary education),TGO,1995,1994,,
10405,Start of the academic school year (tertiary education),TGO,1996,1995,,
10405,Start of the academic school year (tertiary education),TGO,1997,1996,,
10405,Start of the academic school year (tertiary education),TGO,1998,1997,,
10405,Start of the academic school year (tertiary education),TGO,1999,1998,,
10405,Start of the academic school year (tertiary education),TGO,2000,1999,,
10405,Start of the academic school year (tertiary education),TGO,2001,2000,,
10405,Start of the academic school year (tertiary education),TGO,2002,2001,,
10405,Start of the academic school year (tertiary education),TGO,2003,2002,,
10405,Start of the academic school year (tertiary education),TGO,2004,2003,,
10405,Start of the academic school year (tertiary education),TGO,2005,2004,,
10405,Start of the academic school year (tertiary education),TGO,2006,2005,,
10405,Start of the academic school year (tertiary education),TGO,2007,2006,,
10405,Start of the academic school year (tertiary education),TGO,2008,2007,,
10405,Start of the academic school year (tertiary education),TGO,2009,2008,,
10405,Start of the academic school year (tertiary education),TGO,2010,2009,,
10405,Start of the academic school year (tertiary education),TGO,2011,2010,,
10405,Start of the academic school year (tertiary education),TGO,2012,2011,,
10405,Start of the academic school year (tertiary education),TGO,2013,2012,,
10405,Start of the academic school year (tertiary education),TGO,2014,2013,,
10405,Start of the academic school year (tertiary education),TGO,2015,2014,,
10405,Start of the academic school year (tertiary education),TGO,2016,2015,,
10405,Start of the academic school year (tertiary education),TGO,2017,2016,,
10405,Start of the academic school year (tertiary education),TGO,2018,2017,,
10405,Start of the academic school year (tertiary education),TGO,2019,2018,,
10405,Start of the academic school year (tertiary education),TGO,2020,2019,,
10405,Start of the academic school year (tertiary education),TGO,2021,2020,,
10405,Start of the academic school year (tertiary education),TGO,2022,2021,,
10406,End of the academic school year (tertiary education),TGO,1998,1998,,
10406,End of the academic school year (tertiary education),TGO,1999,1999,,
10406,End of the academic school year (tertiary education),TGO,2000,2000,,
10406,End of the academic school year (tertiary education),TGO,2001,2001,,
10406,End of the academic school year (tertiary education),TGO,2002,2002,,
10406,End of the academic school year (tertiary education),TGO,2003,2003,,
10406,End of the academic school year (tertiary education),TGO,2004,2004,,
10406,End of the academic school year (tertiary education),TGO,2005,2005,,
10406,End of the academic school year (tertiary education),TGO,2006,2006,,
10406,End of the academic school year (tertiary education),TGO,2007,2007,,
10406,End of the academic school year (tertiary education),TGO,2008,2008,,
10406,End of the academic school year (tertiary education),TGO,2009,2009,,
10406,End of the academic school year (tertiary education),TGO,2010,2010,,
10406,End of the academic school year (tertiary education),TGO,2011,2011,,
10406,End of the academic school year (tertiary education),TGO,2012,2012,,
10406,End of the academic school year (tertiary education),TGO,2013,2013,,
10406,End of the academic school year (tertiary education),TGO,2014,2014,,
10406,End of the academic school year (tertiary education),TGO,2015,2015,,
10406,End of the academic school year (tertiary education),TGO,2016,2016,,
10406,End of the academic school year (tertiary education),TGO,2017,2017,,
10406,End of the academic school year (tertiary education),TGO,2018,2018,,
10406,End of the academic school year (tertiary education),TGO,2019,2019,,
10406,End of the academic school year (tertiary education),TGO,2020,2020,,
10406,End of the academic school year (tertiary education),TGO,2021,2021,,
10406,End of the academic school year (tertiary education),TGO,2022,2022,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1971,9414,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1972,6129,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1973,7110,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1974,7273,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1975,6242,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1976,6723,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1977,5458,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1978,6124,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1979,6973,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1980,6484,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1981,7726,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1982,9000,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1983,9393,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1984,9248,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1985,9279,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1986,9740,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1987,9844,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1988,10483,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1989,9772,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1990,10200,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1991,10949,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1994,10526,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1995,10098,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1996,10354,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1997,10489,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1998,10532,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,1999,11241,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2000,9432,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2001,10484,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2002,12094,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2003,12773,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2004,15085,,UIS_EST
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2006,19973,,UIS_EST
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2007,22559,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2008,26050,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2009,41057,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2010,42890,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2011,55120,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2012,66018,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2013,86680,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2014,96957,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2015,115105,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2017,143897,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2018,155739,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2019,172225,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2020,207503,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2021,206034,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2022,228223,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2023,240424,,
20060,"Enrolment in pre-primary education, both sexes (number)",TGO,2024,230771,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1971,3983,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1972,2891,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1973,3492,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1974,3395,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1975,2876,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1976,3270,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1977,2585,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1978,2873,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1979,3384,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1980,3108,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1981,3808,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1982,4381,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1983,4603,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1984,4580,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1985,4640,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1986,4733,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1987,4746,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1988,5112,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1989,4917,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1990,4877,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1991,5409,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1994,5235,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1995,4949,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1996,5074,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1997,5108,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1998,5153,,
20061,"Enrolment in pre-primary education, female (number)",TGO,1999,5601,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2000,4829,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2001,5220,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2002,6115,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2003,6330,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2004,7542,,UIS_EST
20061,"Enrolment in pre-primary education, female (number)",TGO,2006,9986,,UIS_EST
20061,"Enrolment in pre-primary education, female (number)",TGO,2007,11334,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2008,13208,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2009,20920,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2010,21684,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2011,27832,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2012,33508,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2013,44092,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2014,49115,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2015,58235,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2017,73162,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2018,78782,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2019,87158,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2020,105275,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2021,104834,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2022,116380,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2023,121227,,
20061,"Enrolment in pre-primary education, female (number)",TGO,2024,116788,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1971,228505,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1972,257875,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1973,290352,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1974,311678,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1975,329443,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1976,362895,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1977,395381,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1978,421436,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1979,458104,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1980,484272,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1981,506788,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1982,498639,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1983,492329,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1984,457376,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1985,454209,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1986,462858,,
20062,"Enrolment in primary education, both sexes (number)",TGO,1987,511009,,
