row_id,niveau,serie,region,ordre,sexe,annee_session,filiere,riasec_top3,riasec_score,note_actuelle,note_n1,note_n2,tendance_notes,score_aspiration,score_realite,score_engagement,score_recommandation,label
a1d2a33e493a1c33,BAC_1,A,Centrale,public,M,2023,Sciences de l'Éducation,S|R|I,0.553,8.62,6.99,8.82,1,0.578,0.955,0.736,0.790,0
16b847138f747522,BAC_1,D,Centrale,public,F,2023,Biologie,S|R|I,0.414,12.06,11.59,11.8,1,0.236,0.568,0.391,0.425,1
85d44a82ed8be5a8,BAC_1,D,Grand Lomé,public,M,2024,Génie Électrique,S|R|I,0.576,10.21,10.19,9.66,1,0.494,0.611,0.302,0.523,0
b4ef671e23304dee,BAC_1,D,Centrale,public,M,2023,Génie Informatique,S|R|I,0.531,12.99,12.2,12.54,1,0.386,0.667,0.383,0.526,0
765a4b351489da58,BAC_1,D,Plateaux Est,public,F,2023,Biologie,S|R|I,0.418,10.33,9.15,9.71,1,0.451,0.688,0.587,0.590,0
88211aca991a443e,BAC_1,D,Grand Lomé,public,F,2024,Gestion des Entreprises,S|R|I,0.553,10.38,10.97,11.05,-1,0.713,0.589,0.506,0.620,1
03058d5b8b63061f,BAC_1,G3,Plateaux Est,public,M,2024,Sciences Infirmières,S|R|I,0.569,7.83,6.57,6.63,1,0.642,0.431,0.611,0.531,0
14256c6fc02246f5,BAC_1,A,Grand Lomé,public,M,2024,Psychologie,S|R|I,0.499,13.31,13.51,12.76,-1,0.491,0.623,0.380,0.541,1
2260fd90f8df2906,BAC_1,A,Savanes,public,F,2024,Psychologie,S|R|I,0.604,11.38,11.43,10.15,-1,0.670,0.770,0.557,0.703,0
3b90e86141860af6,BAC_1,A,Plateaux Est,public,F,2024,Psychologie,S|R|I,0.505,9.69,9.57,8.64,1,0.520,0.357,0.418,0.423,0
00f2992446559ba7,BAC_1,A,Plateaux Est,public,M,2023,Lettres Modernes,S|R|I,0.587,10.41,11.69,8.13,-1,0.645,0.777,0.680,0.716,0
b6af3e855214c8b9,BAC_1,D,Maritime,public,M,2023,Informatique,S|R|I,0.444,7.05,7.76,6.61,-1,0.596,0.801,0.605,0.700,1
8507b078d18e6987,BAC_1,D,Maritime,public,M,2023,Gestion des Entreprises,S|R|I,0.602,11.07,10.44,10.83,1,0.487,0.967,0.360,0.708,1
64123c3a012c76be,BAC_1,D,Plateaux Ouest,privé,F,2024,Génie Électrique,S|R|I,0.469,10.1,9.3,8.44,1,0.531,0.562,0.555,0.550,0
a64383f1fe8bfe70,BAC_1,A,Savanes,privé,M,2024,Anglais,S|R|I,0.537,12.37,13.18,11.42,-1,0.570,0.839,0.567,0.704,0
