row_id,niveau,serie,riasec_top3,riasec_score,note_actuelle,note_n1,note_n2,tendance_notes,score_aspiration,score_realite,score_engagement,score_recommandation,label
9aa791ca86114a61,BAC_1,A,S|C|I,0.553,8.62,6.99,8.82,1,0.578,0.955,0.736,0.79,0
36d5c92bfaa94d11,BAC_1,D,I|S|R,0.414,12.06,11.59,11.8,1,0.236,0.568,0.391,0.425,1
6807f6a3cc18468f,BAC_1,D,R|C|I,0.576,10.21,10.19,9.66,1,0.494,0.611,0.302,0.523,0
3df5d81fc4044b2b,BAC_1,D,R|I|C,0.531,12.99,12.2,12.54,1,0.386,0.667,0.383,0.526,0
6ee005d8bfdd41ad,BAC_1,D,S|I|E,0.418,10.33,9.15,9.71,1,0.451,0.688,0.587,0.59,0
cc6ee16cc1274df7,BAC_1,D,I|A|C,0.553,10.38,10.97,11.05,-1,0.713,0.589,0.506,0.62,1
8a96b02b0a054d70,BAC_1,G3,S|C|I,0.569,7.83,6.57,6.63,1,0.642,0.431,0.611,0.531,0
649044dfe3c74992,BAC_1,A,S|E|A,0.499,13.31,13.51,12.76,-1,0.491,0.623,0.38,0.541,1
847ebdb9b9754147,BAC_1,A,S|A|I,0.604,11.38,11.43,10.15,-1,0.67,0.77,0.557,0.703,0
04bb321000d84441,BAC_1,A,S|A|E,0.505,9.69,9.57,8.64,1,0.52,0.357,0.418,0.423,0
c302ffa225d44f31,BAC_1,A,S|C|A,0.587,10.41,11.69,8.13,-1,0.645,0.777,0.68,0.716,0
03c3744151e9436b,BAC_1,D,I|R|C,0.444,7.05,7.76,6.61,-1,0.596,0.801,0.605,0.7,1
28ec360b0a6644ba,BAC_1,D,C|E|A,0.602,11.07,10.44,10.83,1,0.487,0.967,0.36,0.708,1
654c8e22acfc4fa4,BAC_1,D,R|I|A,0.469,10.1,9.3,8.44,1,0.531,0.562,0.555,0.55,0
e5c01e7ce7904832,BAC_1,A,S|I|A,0.537,12.37,13.18,11.42,-1,0.57,0.839,0.567,0.704,0
cd5e48f0106849c1,BAC_1,D,A|I|C,0.607,8.8,9.39,8.85,-1,0.797,0.648,0.868,0.734,0
a6be06a7972a4c2b,BAC_1,D,I|R|A,0.47,13.14,12.48,12.68,1,0.561,0.99,0.542,0.773,0
35b63f1663c146ec,BAC_1,D,A|E|S,0.627,11.65,11.12,11.89,1,0.62,0.858,0.365,0.701,1
62256aef927648a9,BAC_1,D,S|I|A,0.491,11.0,11.97,9.66,-1,0.465,0.968,0.754,0.76,0
50e579e35f80423a,BAC_1,D,I|S|A,0.49,11.57,11.19,11.66,1,0.422,0.437,0.436,0.432,0
a946647c80244a33,BAC_1,A,E|C|I,0.571,9.53,8.69,8.24,1,0.362,0.457,0.705,0.461,1
44083f647a384a90,BAC_1,D,C|E|R,0.592,9.94,10.36,8.19,-1,0.696,0.556,0.61,0.613,1
cf6b4904f722495a,BAC_1,A,A|C|I,0.504,10.53,10.38,9.97,1,0.509,0.533,0.763,0.559,0
de993be4eddc4d03,BAC_1,B,E|I|S,0.563,11.38,10.06,9.66,1,0.567,0.72,0.306,0.604,1
dba1a7079e7a4727,BAC_1,D,R|I|C,0.487,8.95,8.73,8.37,1,0.434,0.609,0.703,0.562,1
ad784db7d9c74e28,BAC_1,A,C|A|E,0.514,8.41,8.59,7.28,-1,0.607,0.726,0.506,0.651,1
8ed4fb5d5d0b4e5d,BAC_1,D,A|S|R,0.399,11.65,9.93,10.33,1,0.521,0.186,0.473,0.347,0
bed9a9005cc7401f,BAC_1,D,S|C|R,0.564,13.21,12.58,12.56,1,0.401,0.262,0.556,0.355,0
8dac9c3fce96494d,BAC_1,G2,C|E|I,0.534,10.52,8.51,9.98,1,0.601,0.932,0.714,0.784,0
740f2c65ab9f4469,BAC_1,D,C|I|R,0.531,9.32,9.99,9.59,-1,0.49,0.764,0.446,0.62,0
9c86b2ce0526430c,BAC_1,A,A|E|S,0.519,12.38,12.14,10.82,1,0.351,0.96,0.231,0.638,1
