No.,Nom du champ,Question,Description,Type du champ
1,region_nom_bdd,,xsd:string,string
2,prefecture_nom_bdd,,xsd:string,string
3,commune_nom_bdd,,xsd:string,string
4,canton_nom_bdd,,xsd:string,string
5,id,,xsd:int,int
6,canton_id_bdd,ID du canton,xsd:string,string
7,nom_localite,Localité,xsd:string,string
8,etablissement_nom,Nom de l'établissement,xsd:string,string
9,etab_id_collecte,ID textuel de l'établissement,xsd:string,string
10,etab_adr,Adresse,xsd:string,string
11,ouverture_heure,Horaire d'ouverture,xsd:string,string
12,ouverture_jour,Jours d'ouverture,xsd:string,string
13,etablissement_categorie,Catégorie de l'établissement,xsd:string,string
14,etab_complex,Le directeur dirige t-il d'autres niveaux?,xsd:string,string
15,etab_complex_spec,"Si oui, lesquels ?",xsd:string,string
16,etab_groupe,Y a-t-il plusieurs groupes?,xsd:string,string
17,etab_groupe_spec,"Si oui, quel est le groupe de ce questionnaire?",xsd:string,string
18,etab_groupe_spec_autre,Autre groupe de ce questionnaire,xsd:string,string
19,etablissement_secteur,Secteur de l'établissement,xsd:string,string
20,etablissement_secteur_autre,Autre secteur de l'établissement,xsd:string,string
21,secteur_prive_agrement,Type d'agrémént,xsd:string,string
22,terrain,Statut foncier du terrain,xsd:string,string
23,terrain_autre,Autre statut foncier du terrain,xsd:string,string
24,terrain_prive,"Si terrain privé, à qui?",xsd:string,string
25,terrain_conflit,Y a-t-il un conflit de terrain ?,xsd:string,string
26,terrain_conflit_qui,"Si oui, avec qui?",xsd:string,string
27,etab_reconnu,L'établissement est-il reconnu par l'Etat?,xsd:string,string
28,organisme_rattachement,Organisme de rattachement (si privé),xsd:string,string
29,inspection_tutelle,Nom de l'inspection de tutelle,xsd:string,string
30,etablissement_creation_date,Année de création de l'établissement,xsd:int,int
31,construction_prog,L'établissement est-il construit dans le cadre d'un programme/projet particulier?,xsd:string,string
32,construction_prog_nom,"Si oui, lequel ?",xsd:string,string
33,construction_prog_date,"Si oui, année du programme",xsd:string,string
34,construction_prog_acteur,"Si oui, nom des acteurs participants au programme institutionnel",xsd:string,string
35,construction_prog_montant,"Si oui, montant aloué",xsd:string,string
36,etablissement_religion,Laïcité ou religion de l'établissement,xsd:string,string
37,etablissement_religion_autre,Autre religion,xsd:string,string
38,etablissement_religion_spec,Détail sur la religion,xsd:string,string
39,jumelage,Y a-t-il des classes jumelées ? (groupe A et groupe B dans la même classe)?,xsd:string,string
40,jumelage_spec,"Si oui, entre quel(s) groupe(s)?",xsd:string,string
41,classe_nbr,Nombre total de classes pour ce niveau et ce groupe (si applicable),xsd:int,int
42,double_flux,Covid : est-ce que l'établissement pratique le double flux ?,xsd:string,string
43,etablissement_langue,Langue d'enseignement,xsd:string,string
44,langue_locale,Langue locale ?,xsd:string,string
45,langue_locale_spec,"Si oui, lesquelles ?",xsd:string,string
46,langue_locale_spec_autre,Autre langues parlées,xsd:string,string
47,etablissement_renovation,Ministère de tutelle,xsd:string,string
48,etablissement_renovation_date,Année de la dernière rénovation,xsd:int,int
49,subvention,L'établissement reçoit-il des subventions ou du matériel?,xsd:string,string
50,subventions_nom,"Si oui, lesquels? (materiel, financier ): lister si plusieurs",xsd:string,string
51,subventions_qui,"Si oui, par qui (lister dans l'ordre si plusieurs)",xsd:string,string
52,subvention_date,"Si oui, récurrence (ponctuelle, annuelle, mensuel...)",xsd:string,string
53,subvention_montant,"Si oui, montant aloué",xsd:string,string
54,interlocuteur,L'interlocuteur est il le chef de l'établissement ?,xsd:string,string
55,interlocuteur_nom,"Si non, NOM Prénom",xsd:string,string
56,interlocuteur_fonction,"Si non, quelle est votre fonction ?",xsd:string,string
