FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66de,Plateaux,Wawa,Wawa 2,Gbadi-N'kougna,Zomenou 2,EPP Zomenou Kope,Nsp,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Wawa-Ouest,Non,MEPSTA,POINT (0.6886157972943031 7.516809380126572)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66dd,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,Chiyime,JEP Chiyime,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Moyen-Mono,Non,MEPSTA,POINT (1.5710239039057021 7.304690127718366)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66dc,Plateaux,Wawa,Wawa 1,Badou,Badou,EPP Badou,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Ecole primaire,Nsp,IEPP Wawa-Ouest,Non,MEPSTA,POINT (0.6055534866385069 7.579404965231269)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66db,Plateaux,Kloto,Kloto 1,Womé,Zongo,Lycée Wome,90913818,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.5796837877772326 6.844359662445005)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66da,Savanes,Tône,Tône 4,Korbongou,Tantoga,CEGIL Tantoga,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Ecole primaire,Nsp,IEPP Tône-Est,Non,MEPSTA,POINT (0.3425383333333334 10.969359999999988)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66d9,Savanes,Tône,Tône 2,Naki-Ouest,Yobre,JEP Yobre,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tône-Ouest,Non,MEPSTA,POINT (0.1006554644859302 10.963846066673492)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66d8,Kara,Dankpen,Dankpen 1,Koulféikou,Tchagloubi,JEP Koulfiekou Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Dankpen,Non,MEPSTA,POINT (0.4054737940316365 9.981725565045924)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66d7,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,CPL Itiyade,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Golfe-Ouest,Non,MEPSTA,POINT (1.1941381662371007 6.221484111442489)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66d6,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Gbomame,JEL Emilienne,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Lomé-Ouest,Non,MEPSTA,POINT (1.1310444939441664 6.209887760564237)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-66d5,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin elavagnon,JEP Cgge,O1 BP 2309,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Lomé-Centre,Non,MEPSTA,POINT (1.2253120687375645 6.151595600862142)
