FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2927,Plateaux,Kloto,Kloto 1,Womé,Zongo,Lycée Wome,90913818,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.5796837877772326 6.844359662445005)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2926,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,CPL Itiyade,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Golfe-Ouest,Non,MEPSTA,POINT (1.1941381662371007 6.221484111442489)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2925,Savanes,Tône,Tône 1,Dapaong,Touaga,CPL La Différence,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Nsp,IESG Dapaong,Non,MEPSTA,POINT (0.2218240001321751 10.875594432162014)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2924,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin soted,CPL L'amitié,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Golfe-Ouest,Non,MEPSTA,POINT (1.2225556782091866 6.150771613835168)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2923,Kara,Binah,Binah 1,Pagouda,Madjatom,CEG Madjatom,S/C BP 128 KARA,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kara,Oui,MEPSTA,POINT (1.3611663469452029 9.820959879611268)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2922,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,CS Jce De L'excellence,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Golfe-Ouest,Non,MEPSTA,POINT (1.1563247719030831 6.219614707364504)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2921,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoè,EC Sola Gratia College,BP 80412,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Nsp,IESG Golfe-Ouest,Non,MEPSTA,POINT (1.1463137160696895 6.181818503702405)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2920,Maritime,Yoto,Yoto 1,Kini-Kondji,Kini kondji,Lycée Kini Kondji,CEG KINI KONDJI,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Vogan,Non,MEPSTA,POINT (1.540363612995772 6.603971950231405)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-291f,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,CS Jean De La Fontaine College,Nsp,Nsp,College,Nsp,IESG Golfe-Ouest,Nsp,,POINT (1.2142254032326452 6.157993560266544)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-291e,Maritime,Yoto,Yoto 2,Tchékpo,Deve,CEG Tchekpo Deve,BP42 Tsevié,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Vogan,Oui,MEPSTA,POINT (1.3715005024228286 6.477390354261803)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-291d,Maritime,Yoto,Yoto 2,Tchékpo,Dedekpoe,CEG Lycée Tchekpo Dedekpoe,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Vogan,Oui,MEPSTA,POINT (1.3601072554840063 6.526127278956628)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-291c,Plateaux,Kloto,Kloto 1,Kpadapé,Zangarame,CPL Esperance Kpadape,Nsp,"{Lundi,Mardi,Mercredi,Vendredi}",College,Prive - individuel,IESG Kpalimé,Non,MEPSTA,POINT (0.5954509807484485 6.8370038597055025)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-291b,Plateaux,Kloto,Kloto 1,Kpadapé,Yeviepe nyive,CEG Yeviepe Nyive,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Non,MEPSTA,POINT (0.5797720969471117 6.8131043716473805)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-291a,Maritime,Yoto,Yoto 3,Gboto,Kossidame,College Methodiste De Gboto Kossidame,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Nsp,IESG Vogan,Oui,MEPSTA,POINT (1.4833413380228808 6.685408704641673)
