FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f72,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,New Life International School,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Golfe-Est,Non,MEPSTA,POINT (1.2557741096684454 6.1924442376644775)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f71,Maritime,Golfe,Golfe 6,Baguida,Agodeka,CPL Tony Victor,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Nsp,IESG Golfe-Est,Non,MEPSTA,POINT (1.367408566894793 6.189611809545767)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f70,Maritime,Yoto,Yoto 1,Kini-Kondji,Kini kondji,Lycée Kini Kondji,LYCEE KINI KONDJI BP 51,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Vogan,Non,MEPSTA,POINT (1.540448622098447 6.603977036172403)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f6f,Maritime,Yoto,Yoto 2,Tchékpo,Dedekpoe dafo,Lycée Tchekpo Dedekpoe,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Vogan,Oui,MEPSTA,POINT (1.3601090654175467 6.526060365872292)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f6e,Maritime,Yoto,Yoto 2,Zafi,Zafi,Lycée De Zafi,BP52 AHEPE,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Vogan,Oui,MEPSTA,POINT (1.3818338411053175 6.620715400609396)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f6d,Maritime,Yoto,Yoto 3,Gboto,Gboto vodoupe,Lycée Gboto-vodoupe,BP69 TABLIGBO,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Vogan,Oui,MEPSTA,POINT (1.5265006508886196 6.669173082290639)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f6c,Maritime,Yoto,Yoto 3,Tométy-Kondji,Apedome,Lycée Tomety Kondji,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,autre,IESG Vogan,Oui,MEPSTA,POINT (1.5509643263400417 6.773330027861007)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f6b,Maritime,Golfe,Golfe 1,Bè-Est,Tokoin Tame,Lycée ITEC Amou Fred,Nsp,Nsp,Lycée,Nsp,IESG Golfe-Est,Nsp,,POINT (1.2616173497001297 6.164701157334535)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f6a,Maritime,Zio,Zio 1,Abobo,Kleme 1,Institut Scolaire Les Archanges Lycée,08BP80832,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2912438462778342 6.266260912463314)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f69,Maritime,Zio,Zio 1,Abobo,Kleme 2,Complexe Scolaire Victoire Plus,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Oui,MEPSTA,POINT (1.294210515381408 6.256368423004139)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f68,Maritime,Zio,Zio 1,Abobo,Avedji,Lycée Abobo,91152644/98184069,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.3708779149443893 6.234099826400156)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f67,Maritime,Zio,Zio 1,Abobo,Abolave,ITP Carrefour Des Leaders,16BP 652,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.3065307567004996 6.242339331790749)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f66,Maritime,Zio,Zio 1,Abobo,Abolave,CS La Cle Du Savoir Lycée,BP4057,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Oui,MEPSTA,POINT (1.3070953741522782 6.242845252005379)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f65,Maritime,Zio,Zio 1,Djagblé,Cite a,LPE My Excellency,16BP 603,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2791299999999999 6.271769999999999)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f64,Maritime,Zio,Zio 1,Djagblé,Gbamakope,CS Evangelique Ekam JEsus Revient Lycée,16BP 205,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Oui,MEPSTA,POINT (1.270808062568222 6.267596014536679)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f63,Maritime,Zio,Zio 1,Djagblé,Amelibome,CS Sainte Olive Lycée,BP61542,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2533924843785935 6.2733331249649416)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f62,Maritime,Zio,Zio 1,Djagblé,Hlankope,Lycée Hlankope,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.2570758267430606 6.271270599824365)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f61,Maritime,Zio,Zio 1,Djagblé,Zovadji,CS Lumiere Et Son Lycée,06BP 61047,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2782356222328497 6.255684242309845)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f60,Maritime,Zio,Zio 1,Djagblé,Zovadji,Lycée De Djagble,90236636,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.2824593477363844 6.256244599447463)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f5f,Maritime,Zio,Zio 1,Djagblé,Akakope,CS Kekey Lycée Technique,BP 62275 tel 90380594,"{Lundi,Mardi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.279874496277027 6.250085586829039)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f5e,Maritime,Zio,Zio 1,Djagblé,Kpota,Lycée Institut Scolaire Le Souverain,BP 18,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2904868845245443 6.249657661155052)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f5d,Maritime,Zio,Zio 1,Djagblé,Akakope,CS Kekey Lycée General,BP62275,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2771628882232882 6.250534110574425)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f5c,Maritime,Zio,Zio 1,Djagblé,Kpota,Complexe Technique Evangelique Bon Berger,99482356,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,autre,IESG Tsevié,Non,MEPSTA,POINT (1.2830977933361127 6.250478964874817)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f5b,Maritime,Zio,Zio 1,Djagblé,Poukedji,CS La Perseverance Lycée,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2708524183261205 6.254246033132268)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f5a,Maritime,Zio,Zio 1,Djagblé,Zovadji,Complexe Scolaire Trone De Dieu Lycée,34 BP 24,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2814276433846072 6.258015354256677)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f59,Maritime,Zio,Zio 1,Djagblé,Agodome,Lycée CS Prince Emmanuel,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2953023534767296 6.242423925723049)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f58,Maritime,Zio,Zio 1,Djagblé,Deve,Cosetep Lycée,90095872,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2837532653814514 6.256651924089621)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f57,Maritime,Yoto,Yoto 3,Essé-Godjin,Esse ana,Lycil Esse Ana,S/C IEPP YOTO EST BP 04,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - Collectivite coutumiere,IESG Vogan,Non,MEPSTA,POINT (1.563547187824703 6.7109105999881775)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f56,Maritime,Zio,Zio 1,Kpomé,Dzogblakope,Lycée Dzogblakope Lycée,Néant,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.299847747226099 6.292805498864014)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f55,Maritime,Zio,Zio 1,Kpomé,Zegle apeyeyeme,Lycée De Zegle Apeyeyeme,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.307749973113203 6.309433592674472)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f54,Maritime,Zio,Zio 1,Kpomé,Kpome apeyeyeme,Lycée Kpome Apeyeme Lycée,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.366224709232075 6.283356248280291)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f53,Maritime,Zio,Zio 1,Dalavé,Azouma kope,CS La Tolerance Lycée,BP 227,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2639188339389589 6.287320656763031)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f52,Maritime,Zio,Zio 1,Dalavé,Sewove,CS L'environnement,16 BP 442 Lome 16,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.2709183430759257 6.286215348595593)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f51,Maritime,Zio,Zio 1,Dalavé,Dalave,Lycée Dalave,90963069,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.2308086286380668 6.392458541006906)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f50,Maritime,Zio,Zio 1,Gbatopé,Gbatope,Lycée Gbatope,BP 321 Tsevie,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Oui,MEPSTA,POINT (1.2720516516846325 6.454586875518876)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f4f,Maritime,Zio,Zio 2,Mission-Tové,Kpala,Lydil Kpala,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Domaine public de l'Etat,IESG Tsevié,Non,MEPSTA,POINT (1.1070176748477387 6.28189012673544)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f4e,Maritime,Zio,Zio 2,Mission-Tové,Mission tove,CSPL La Gloire Lycée Technique,160bp243,"{Mardi,Mercredi,Lundi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Non,MEPSTA,POINT (1.1157430433246074 6.329885986097837)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f4d,Maritime,Golfe,Golfe 6,Baguida,Adamavo,CST Tata Jojo,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Lycée,Nsp,IESG Golfe-Est,Non,MEPSTA,POINT (1.3112383040077726 6.171186777759084)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-f4c,Maritime,Zio,Zio 2,Mission-Tové,Avegnake,CPL Louis Pasteur Lycée,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Lycée,Prive - individuel,IESG Tsevié,Oui,MEPSTA,POINT (1.1255967526402932 6.29236888157908)
