"indicateur","libellés","sexe","Unit","Date","Value"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","TOTAL","Nombre","2013","56557"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","TOTAL","Nombre","2014","54382"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","TOTAL","Nombre","2015","55912"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","TOTAL","Nombre","2016","64527"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","TOTAL","Nombre","2017","68074"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","TOTAL","Nombre","2018","74031"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","F","Nombre","2013","14381"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","F","Nombre","2014","14145"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","F","Nombre","2015","14972"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","F","Nombre","2016","18149"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","F","Nombre","2017","19396"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","F","Nombre","2018","22646"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","M","Nombre","2013","42176"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","M","Nombre","2014","40237"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOLAL GENERAL","M","Nombre","2015","40940"
