"indicateur","subdivision","sexe","Unit","Date","Value"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Total","Pourcentage","2014","27.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Total","Pourcentage","2015","23.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Total","Pourcentage","2016","31.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Total","Pourcentage","2017","29"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Total","Pourcentage","2018","44.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Total","Pourcentage","2019","48"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Masculin","Pourcentage","2014","27.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Masculin","Pourcentage","2015","23.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Masculin","Pourcentage","2016","31.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Masculin","Pourcentage","2017","30.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Masculin","Pourcentage","2018","44.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Masculin","Pourcentage","2019","47.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Fémin","Pourcentage","2014","25.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Fémin","Pourcentage","2015","23.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Fémin","Pourcentage","2016","29.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Fémin","Pourcentage","2017","23.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Fémin","Pourcentage","2018","42.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R. Savanes","Fémin","Pourcentage","2019","51.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Total","Pourcentage","2014","33.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Total","Pourcentage","2015","34.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Total","Pourcentage","2016","38.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Total","Pourcentage","2017","31.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Total","Pourcentage","2018","47.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Total","Pourcentage","2019","57.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Masculin","Pourcentage","2014","35.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Masculin","Pourcentage","2015","36.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Masculin","Pourcentage","2016","42.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Masculin","Pourcentage","2017","29.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Masculin","Pourcentage","2018","48.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Masculin","Pourcentage","2019","56.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Fémin","Pourcentage","2014","21.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Fémin","Pourcentage","2015","24"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Fémin","Pourcentage","2016","21.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Fémin","Pourcentage","2017","37.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Fémin","Pourcentage","2018","43.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","CINKASSE","Fémin","Pourcentage","2019","61.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Total","Pourcentage","2014","9.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Total","Pourcentage","2015","16.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Total","Pourcentage","2016","21.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Total","Pourcentage","2017","20.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Total","Pourcentage","2018","34.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Total","Pourcentage","2019","43.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Masculin","Pourcentage","2014","10.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Masculin","Pourcentage","2015","16.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Masculin","Pourcentage","2016","21.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Masculin","Pourcentage","2017","19.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Masculin","Pourcentage","2018","39.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Masculin","Pourcentage","2019","43"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Fémin","Pourcentage","2014","0"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Fémin","Pourcentage","2015","16.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Fémin","Pourcentage","2016","18.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Fémin","Pourcentage","2017","30.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Fémin","Pourcentage","2018","11.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","KPENDJAL","Fémin","Pourcentage","2019","45.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Total","Pourcentage","2014","34.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Total","Pourcentage","2015","17.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Total","Pourcentage","2016","31.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Total","Pourcentage","2017","22.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Total","Pourcentage","2018","41"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Total","Pourcentage","2019","43.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Masculin","Pourcentage","2014","35.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Masculin","Pourcentage","2015","17.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Masculin","Pourcentage","2016","31.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Masculin","Pourcentage","2017","22.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Masculin","Pourcentage","2018","42"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Masculin","Pourcentage","2019","41.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Fémin","Pourcentage","2014","30.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Fémin","Pourcentage","2015","17.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Fémin","Pourcentage","2016","30.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Fémin","Pourcentage","2017","21.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Fémin","Pourcentage","2018","36.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","OTI","Fémin","Pourcentage","2019","50"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Total","Pourcentage","2014","29.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Total","Pourcentage","2015","15.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Total","Pourcentage","2016","22.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Total","Pourcentage","2017","25.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Total","Pourcentage","2018","40.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Total","Pourcentage","2019","31.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Masculin","Pourcentage","2014","30.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Masculin","Pourcentage","2015","16.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Masculin","Pourcentage","2016","22.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Masculin","Pourcentage","2017","26.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Masculin","Pourcentage","2018","40.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Masculin","Pourcentage","2019","28.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Fémin","Pourcentage","2014","11.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Fémin","Pourcentage","2015","9.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Fémin","Pourcentage","2016","15.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Fémin","Pourcentage","2017","17.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Fémin","Pourcentage","2018","42.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TANDJOARE","Fémin","Pourcentage","2019","50"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Total","Pourcentage","2014","26.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Total","Pourcentage","2015","25.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Total","Pourcentage","2016","33.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Total","Pourcentage","2017","31.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Total","Pourcentage","2018","48.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Total","Pourcentage","2019","52.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Masculin","Pourcentage","2014","25.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Masculin","Pourcentage","2015","25.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Masculin","Pourcentage","2016","33.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Masculin","Pourcentage","2017","34"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Masculin","Pourcentage","2018","48.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Masculin","Pourcentage","2019","53.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Fémin","Pourcentage","2014","27.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Fémin","Pourcentage","2015","25.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Fémin","Pourcentage","2016","33.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","TONE","Fémin","Pourcentage","2017","23.1"
