indicator_id,country_id,year,value
#indicator+code,#country+code,#date+year,#indicator+value+num
XGDP.FSGOV,TGO,1970,1.555500030517578
XGDP.FSGOV,TGO,1979,4.915030002593994
XGDP.FSGOV,TGO,1981,4.328489780426025
XGDP.FSGOV,TGO,1984,3.9690101146698
XGDP.FSGOV,TGO,1987,3.47160005569458
XGDP.FSGOV,TGO,1992,4.176209926605225
XGDP.FSGOV,TGO,1996,3.247009992599487
XGDP.FSGOV,TGO,1998,2.931920051574707
XGDP.FSGOV,TGO,1999,3.080179929733276
ROFST.3.CP,TGO,1999,74.94026947021484
XGDP.FSGOV,TGO,2000,2.885299921035767
ROFST.3.CP,TGO,2000,72.11116790771484
CR.2,TGO,2000,11.6899996995926
XGDP.FSGOV,TGO,2001,2.772079944610596
XGDP.FSGOV,TGO,2002,2.56633996963501
XGDP.FSGOV,TGO,2003,2.447590112686157
XGDP.FSGOV,TGO,2004,2.288310050964355
XGDP.FSGOV,TGO,2005,2.325210094451904
CR.2,TGO,2006,29.44824981689453
XGDP.FSGOV,TGO,2006,2.527740001678467
XGDP.FSGOV,TGO,2007,2.5833899974823
XGDP.FSGOV,TGO,2008,2.417579889297485
XGDP.FSGOV,TGO,2009,2.846290111541748
XGDP.FSGOV,TGO,2010,3.014410018920898
CR.2,TGO,2010,26.85206031799316
XGDP.FSGOV,TGO,2011,3.171119928359985
XGDP.FSGOV,TGO,2012,3.472759962081909
XGDP.FSGOV,TGO,2013,3.255259990692139
XGDP.FSGOV,TGO,2014,3.520839929580688
CR.2,TGO,2014,23.87191963195801
XGDP.FSGOV,TGO,2015,3.759310007095337
XGDP.FSGOV,TGO,2016,3.686490058898926
XGDP.FSGOV,TGO,2017,3.7605299949646
ROFST.3.CP,TGO,2017,57.01541137695313
CR.2,TGO,2017,47.48648834228516
XGDP.FSGOV,TGO,2018,4.09168004989624
XGDP.FSGOV,TGO,2019,4.202
XGDP.FSGOV,TGO,2020,4.091
ROFST.3.CP,TGO,2021,53.67071914672852
XGDP.FSGOV,TGO,2021,4.231
XGDP.FSGOV,TGO,2022,3.798
