indicator_id,country_id,year,type,metadata
#indicator+code,#country+code,#date+year,#description+type,#description
ADMI.ENDOFPRIM.MAT,TGO,2014,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.MAT,TGO,2015,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.MAT,TGO,2016,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.MAT,TGO,2017,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.MAT,TGO,2018,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.MAT,TGO,2019,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.MAT,TGO,2020,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.MAT,TGO,2021,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.MAT,TGO,2022,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.MAT,TGO,2023,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.READ,TGO,2014,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.READ,TGO,2015,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.READ,TGO,2016,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.READ,TGO,2017,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.READ,TGO,2018,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.ENDOFPRIM.READ,TGO,2019,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.READ,TGO,2020,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.READ,TGO,2021,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.READ,TGO,2022,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.ENDOFPRIM.READ,TGO,2023,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.MAT,TGO,2014,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.MAT,TGO,2015,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.MAT,TGO,2016,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.MAT,TGO,2017,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.MAT,TGO,2018,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.MAT,TGO,2019,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.MAT,TGO,2020,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.MAT,TGO,2021,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.MAT,TGO,2022,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.MAT,TGO,2023,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.READ,TGO,2014,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.READ,TGO,2015,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.READ,TGO,2016,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.READ,TGO,2017,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.READ,TGO,2018,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2014)
ADMI.GRADE2OR3PRIM.READ,TGO,2019,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.READ,TGO,2020,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.READ,TGO,2021,Source:Data sources,Multiple Indicator Cluster Surveys (MICS) 6(2017); Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.READ,TGO,2022,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
ADMI.GRADE2OR3PRIM.READ,TGO,2023,Source:Data sources,Programme danalyse des systemes educatifs de la CONFEMEN (PASEC)(2019)
