"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2014","91.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2015","91.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2016","97.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2017","20.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2018","96.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2019","91.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2020","78.1"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2021","98.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Total","%","2022","85.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2014","91.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2015","92.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2016","97.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2017","96"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2018","96.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2019","92.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2020","81.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2021","98.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Masculin","%","2022","85.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2014","88.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2015","90.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2016","96.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2017","85.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2018","96.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2019","88.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2020","70.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2021","98.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Togo","Féminin","%","2022","83.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2014","82.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2015","93.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2016","95.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2017","11.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2018","96.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2019","88.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2020","83"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2021","98.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Total","%","2022","84.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2014","84.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2015","94.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2016","96"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2017","99.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2018","96.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2019","91"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2020","86.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2021","99.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Masculin","%","2022","83.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Féminin","%","2014","76.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Lomé-Golfe","Féminin","%","2015","91"
