"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2014","50.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2015","64.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2016","73.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2017","95.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2018","46.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2019","77.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2020","66.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2021","77.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Total","%","2022","67.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2014","52.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2015","64.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2016","74.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2017","68.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2018","47.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2019","77.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2020","69.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2021","79.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Masculin","%","2022","69.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2014","46.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2015","61.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2016","72"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2017","62.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2018","43.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2019","76"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2020","61.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2021","75.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Togo","Féminin","%","2022","64.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2014","42.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2015","68.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2016","77.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2017","71.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2018","47.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2019","78.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2020","64.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2021","79.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Total","%","2022","65.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2014","41.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2015","68.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2016","77.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2017","72.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2018","47.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2019","78.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2020","67.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2021","81.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Masculin","%","2022","67.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2014","44.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2015","68.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2016","76.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2017","70.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2018","48.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2019","78.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2020","61.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2021","77.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Lomé-Golfe","Féminin","%","2022","64"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2014","59.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2015","61.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2016","74.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2017","54.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2018","39.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2019","71.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2020","64.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2021","70.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Total","%","2022","66.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2014","60.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2015","62.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2016","74.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2017","57.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2018","42.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2019","73.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2020","66.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2021","73.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Masculin","%","2022","69.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2014","53.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2015","57"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2016","73.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2017","47.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2018","32.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2019","66.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2020","58.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2021","64.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Maritime","Féminin","%","2022","62.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2014","43.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2015","57.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2016","75.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2017","71.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2018","48.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2019","78.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2020","67.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2021","81.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Total","%","2022","66.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2014","44.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2015","59.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2016","76.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2017","73.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2018","51.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2019","78.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2020","69.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2021","83.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Masculin","%","2022","69.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2014","39.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2015","51.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2016","72.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2017","64.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2018","40.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2019","77.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2020","64.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2021","78.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Plateaux","Féminin","%","2022","60.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2014","57"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2015","59.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2016","67.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2017","66.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2018","55"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2019","80.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2020","68.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2021","78.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2022","66"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2014","59.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2015","60.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2016","68.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2017","67.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2018","56.5"
