"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2014","62"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2015","57.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2016","82.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2017","60.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2018","56.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2019","77.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2020","61.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Total","%","2022","82"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2014","69.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2015","59.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2016","82.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2017","61.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2018","58"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2019","78.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2020","63"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2021","85.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Masculin","%","2022","82.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2014","50.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2015","54.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2016","81.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2017","58.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2018","54.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2019","75.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2020","60.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2021","84.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Togo","Féminin","%","2022","80.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2014","66.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2015","69.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2016","86.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2017","71.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2018","60.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2019","79.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2020","70.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Total","%","2022","83.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2014","64.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2015","70.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2016","87.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2017","71.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2018","59.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2019","80.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2020","69.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2021","88.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Masculin","%","2022","84.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2014","67.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2015","68.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2016","86.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2017","71"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2018","61.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2019","78.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2020","71.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2021","88.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Lomé-Golfe","Féminin","%","2022","83.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2014","70.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2015","56"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2016","85.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2017","56"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2018","53"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2019","75.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2020","57.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2022","84.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2014","72.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2015","58.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2016","85.5"
