eleve_id,niveau_actuel,notes_n2,notes_n1,notes_actuelle,annee_partielle,tendance_notes,serie,riasec_R,riasec_I,riasec_A,riasec_S,riasec_E,riasec_C,moyenne_generale,filiere_choisie,score_60_40,match_riasec,ecart_notes_seuil,nb_consultations,en_favori,score_similarite_recherche,statut,satisfaction
0,BAC_2,11.44,13.84,13.85,False,1.205,C,0.88,0.715,0.097,1.0,0.78,0.806,13.04,Agronomie,0.836,0.924,2.04,11,False,0.699,ADMIS,4
1,BAC_1,13.1,14.12,14.32,True,0.61,C,0.804,0.525,1.0,0.841,0.375,0.999,13.85,Lettres,0.871,0.862,3.85,2,False,0.622,ADMIS,3
2,LYCEE_TLE,10.74,9.55,10.86,False,0.058,C,0.813,0.684,0.963,0.816,0.499,1.0,10.38,Lettres,0.737,0.87,0.38,9,True,0.716,ADMIS,3
3,LYCEE_TLE,15.42,15.41,17.44,False,1.014,D,0.206,1.0,0.885,0.84,0.504,0.732,16.09,Lettres,0.969,0.948,6.09,11,False,0.669,ADMIS,4
4,COLLEGE,14.51,13.64,9.63,True,-2.44,NA,0.922,1.0,0.156,0.618,0.121,0.75,12.59,Communication,0.0,0.554,2.59,6,False,0.834,REORIENTE,3
5,LYCEE_TLE,8.52,12.03,9.99,False,0.736,G,0.311,0.55,0.273,1.0,0.176,0.048,10.18,Communication,0.668,0.769,0.18,11,False,0.732,ADMIS,5
6,LYCEE_1ERE,12.74,13.77,15.37,False,1.316,D,0.152,0.63,0.863,0.723,0.248,1.0,13.96,Lettres,0.903,0.908,3.96,4,False,0.535,ADMIS,3
7,BAC_2,15.21,18.41,16.81,False,0.796,D,0.476,0.431,0.491,0.752,1.0,0.523,16.81,Gestion_Commerce,0.957,0.929,6.81,10,False,0.851,ADMIS,4
8,LYCEE_1ERE,13.6,13.27,11.92,False,-0.841,D,0.499,0.059,0.448,0.628,0.122,1.0,12.93,Lettres,0.714,0.661,2.93,9,False,0.645,ADMIS,5
9,BAC_3,11.8,11.71,12.8,False,0.5,C,0.387,0.631,1.0,0.769,0.948,0.628,12.1,Communication,0.858,0.956,2.1,7,False,0.753,ADMIS,5
10,BAC_1,15.41,14.53,13.23,False,-1.092,G,0.155,0.151,0.113,0.85,0.541,1.0,14.39,Gestion_Commerce,0.898,0.871,4.39,2,False,0.805,ADMIS,5
11,BAC_2,7.95,8.2,8.74,True,0.398,C,0.499,0.482,0.329,1.0,0.851,0.12,8.29,Gestion_Commerce,0.61,0.798,-1.71,11,False,0.682,REORIENTE,4
12,BAC_1,10.21,9.79,6.57,True,-1.821,G,0.158,0.749,0.197,0.276,0.724,1.0,8.85,Gestion_Commerce,0.683,0.882,-1.15,6,True,0.737,ADMIS,3
13,BAC_1,14.24,11.31,11.6,False,-1.32,D,0.7,0.695,0.37,1.0,0.539,0.061,12.38,Lettres,0.743,0.747,2.38,10,True,0.721,ADMIS,4
14,LYCEE_TLE,6.0,12.13,9.04,False,1.52,D,0.017,0.966,1.0,0.435,0.179,0.701,9.06,Lettres,0.737,0.957,-0.94,10,False,0.906,ADMIS,3
15,BAC_3,8.14,9.04,7.3,True,-0.42,A,0.397,0.498,0.836,1.0,0.841,0.143,8.16,Communication,0.703,0.961,-1.84,11,False,0.661,ADMIS,4
16,BAC_1,12.43,9.4,13.56,True,0.563,A,0.283,0.716,0.646,1.0,0.632,0.486,11.8,Communication,0.827,0.924,1.8,9,True,0.708,ADMIS,4
17,BAC_2,9.35,11.53,12.32,False,1.487,A,0.482,0.063,0.141,0.873,0.922,1.0,11.07,Gestion_Commerce,0.798,0.926,1.07,9,False,0.721,ADMIS,5
18,LYCEE_TLE,13.94,13.63,10.57,True,-1.684,C,0.137,0.576,1.0,0.703,0.597,0.393,12.71,Communication,0.9,0.987,2.71,10,False,0.698,ADMIS,4
